number,z,log(1+z),logM*,log(sSFR/sSFR(MS)),"kpc/""",R1/2,del-R1/2,vrot,del-vrot,sigma-intrinsic,del-s,vrot/sintr,del-vrot/sintr,B/T,n(Sersic),M_bulge,Mmol-gas,Mbaryon,log(S* (R1/2)),log(S* (1kpc)),logSgas,fgas,logMgas/M*,SFRbest,sSFR,(V-J)rf,(U-V)rf,,type,logSSFR ,
,,,,Whitaker 14,,(kpc),(kpc),(km/s),(km/s),(km/s),(km/s),,,,,Msun,Msun,Msun,Msun kpc^-2,Msun kpc^-2,Msun/kpc^2,(baryonic),,Msun/yr,Gyr^-1,,,,,(Msun/yr/kpc^2),
91,2.519,0.546,11.05,0.08,8.05,5.77,0.86,372,18,77,25,4.8,1.6,0.092,1.144,1.0E+10,1.22E+11,2.34E+11,8.73,9.902,8.77,0.52,0.036,233.1,2.08,1.285,1.126,1.721,b-SFG,0.048,91
92,2.528,0.547,11.15,-0.37,8.05,4.52,0.68,383,17,53,20,7.2,2.7,0.154,2.26,2.2E+10,8.24E+10,2.24E+11,9.04,10.057,8.81,0.37,-0.234,98.4,0.70,1.320,1.494,1.752,r-SFG,-0.116,92
93,2.142,0.497,10.86,0.06,8.29,1.39,0.21,336,41,48,20,7.0,3.1,0.438,2.36,3.2E+10,6.94E+10,1.42E+11,9.77,,9.76,0.49,-0.018,118.4,1.64,0.940,1.421,1.417,passive,0.987,93
94,2.225,0.509,11.2,0.26,8.24,3.54,0.53,233,13,47,20,5.0,2.1,0.989,6.869,1.6E+11,1.69E+11,3.28E+11,9.30,10.255,9.33,0.52,0.028,335.2,2.11,0.905,1.121,1.386,b-SFG,0.630,94
95,2.309,0.520,10.96,0.82,8.19,2.71,0.41,306,16,24,7,13.0,3.9,0,0.34,0.0E+00,2.42E+11,3.33E+11,9.30,9.344,9.72,0.73,0.424,926.6,10.16,1.578,1.290,1.979,b-SFG,1.302,95
96,2.227,0.509,10.5,0.03,8.24,2.32,0.35,244,10,35,10,6.9,2.0,0.304,0.968,9.6E+09,4.06E+10,7.23E+10,8.97,9.752,9.08,0.56,0.109,80.1,2.53,1.040,1.223,1.505,b-SFG,0.373,96
97,2.187,0.503,11,0.31,8.27,7.30,1.09,223,9,32,10,6.9,2.2,0,0.837,0.0E+00,1.24E+11,2.24E+11,8.48,9.52,8.57,0.55,0.094,266.8,2.67,1.375,1.149,1.800,b-SFG,-0.099,97
98,2.318,0.521,10.3,-0.09,8.19,2.53,0.38,67,9,58,20,1.2,0.4,0.191,1.532,3.8E+09,2.47E+10,4.46E+10,8.70,9.135,8.79,0.55,0.092,45.1,2.26,0.376,0.810,0.921,b-SFG,0.050,98
99,2.228,0.509,10.36,-0.12,8.24,4.35,0.65,118,12,44,20,2.7,1.3,0.001,0.582,2.3E+07,2.59E+10,4.88E+10,8.28,8.838,8.34,0.53,0.053,44.7,1.95,0.388,0.705,0.931,b-SFG,-0.425,99
100,2.442,0.537,10.66,0.07,8.11,3.27,0.49,156,9,58,30,2.7,1.4,0,0.829,0.0E+00,6.23E+10,1.08E+11,8.83,9.772,8.97,0.58,0.135,131.8,2.88,1.219,1.017,1.663,b-SFG,0.292,100
